Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 29,@,NYM,W3-1,36,32,3,8,1,0,1,3,3,0,7,0,0,1,0,2,1,0,.250,.306,.375,.681,6,11,L,J.Quintana(46)
2,2,Mar 30,@,NYM,W7-6,45,44,7,15,1,0,1,6,1,0,12,0,0,0,2,0,4,0,.303,.333,.408,.741,11,10,R,L.Severino(33)
3,3,Mar 31,@,NYM,W4-1,41,33,4,9,4,0,0,4,6,1,10,1,0,0,0,1,3,0,.294,.355,.404,.759,10,10,R,T.Megill(51)
4,4,Apr 2,,MIN,W3-2,36,30,3,7,1,0,1,3,5,0,8,1,0,0,0,0,3,1,.281,.357,.396,.752,9,9,R,L.Varland(40)
5,5,Apr 3,,MIN,L3-7,35,31,3,7,0,0,2,3,3,0,9,0,0,1,0,2,0,0,.271,.344,.400,.744,5,11,R,C.Paddack(42)
6,6,Apr 5,,SEA,W6-5,38,32,6,8,1,0,3,6,6,0,9,0,0,0,0,0,2,1,.267,.348,.426,.774,7,10,R,L.Gilbert(49)
7,7,Apr 6,,SEA,L3-5,36,31,3,5,1,0,1,3,4,0,8,0,0,1,0,0,0,0,.253,.335,.408,.742,6,11,R,B.Miller(77)
8,8,Apr 7,,SEA,W12-4,41,37,12,14,1,1,3,12,4,0,11,0,0,0,0,0,3,0,.270,.349,.448,.797,5,12,R,E.Hancock(11)
9,9,Apr 8,@,CIN,L8-10,42,39,8,12,2,0,2,7,2,0,11,1,0,0,0,0,0,0,.275,.350,.456,.806,7,9,R,G.Ashcraft(34)
10,10,Apr 9,@,CIN,W9-5,45,41,9,13,5,0,0,9,4,0,5,0,0,0,0,0,1,0,.280,.353,.454,.807,9,10,R,F.Montas(42)
11,11,Apr 10,@,CIN,W7-2,39,32,7,6,0,0,2,7,3,0,12,3,0,1,0,0,2,0,.272,.349,.448,.796,5,9,R,H.Greene(42)
12,12,Apr 12,@,BAL,W11-1,46,42,11,15,2,1,3,11,4,0,6,0,0,0,1,1,0,0,.281,.355,.469,.824,8,10,R,T.Wells(36)
